Period,Borrowings(in Cr),CWIP(in Cr),Equity Capital(in Cr),Fixed Assets(in Cr),Investments(in Cr),Other Assets(in Cr),Other Liabilities(in Cr),Reserves(in Cr),Total Assets(in Cr),Total Liabilities(in Cr)
FY2015,0.0,141.0,14.0,782.0,37.0,742.0,932.0,757.0,1702.0,1702.0
FY2016,0.0,78.0,27.0,1008.0,31.0,885.0,972.0,1004.0,2003.0,2003.0
FY2017,0.0,167.0,27.0,1108.0,31.0,1005.0,1037.0,1247.0,2311.0,2311.0
FY2018,0.0,159.0,27.0,1146.0,31.0,1228.0,1039.0,1497.0,2564.0,2564.0
FY2019,83.0,199.0,27.0,1191.0,31.0,1206.0,1097.0,1420.0,2626.0,2626.0
FY2020,102.0,190.0,27.0,1123.0,19.0,1272.0,908.0,1567.0,2604.0,2604.0
FY2021,91.0,145.0,27.0,1065.0,19.0,1666.0,1637.0,1139.0,2894.0,2894.0
FY2022,83.0,122.0,27.0,963.0,0.0,1817.0,1084.0,1707.0,2902.0,2902.0
FY2023,69.0,114.0,27.0,862.0,0.0,1907.0,1098.0,1689.0,2883.0,2883.0
FY2024,72.0,110.0,27.0,794.0,0.0,2292.0,1250.0,1847.0,3197.0,3197.0
FY2025,61.0,38.0,27.0,776.0,0.0,2204.0,1293.0,1637.0,3019.0,3019.0
FY2026,47.0,27.0,27.0,718.0,0.0,2663.0,1777.0,1557.0,3408.0,3408.0
