Period,CFO/OP(in %),Cash from Financing Activity(in Cr),Cash from Investing Activity(in Cr),Cash from Operating Activity(in Cr),Free Cash Flow(in Cr),Net Cash Flow(in Cr)
FY2015,103.0,-385.0,-272.0,638.0,339.0,-18.0
FY2016,100.0,-391.0,-237.0,689.0,417.0,61.0
FY2017,105.0,-341.0,-342.0,688.0,367.0,5.0
FY2018,93.0,-380.0,-207.0,694.0,485.0,107.0
FY2019,113.0,-815.0,-96.0,983.0,879.0,73.0
FY2020,104.0,-891.0,-19.0,930.0,869.0,20.0
FY2021,76.0,-956.0,71.0,784.0,727.0,-101.0
FY2022,127.0,-1091.0,-108.0,1626.0,1576.0,427.0
FY2023,101.0,-1087.0,-8.0,1176.0,1107.0,82.0
FY2024,88.0,-1195.0,79.0,1199.0,1123.0,83.0
FY2025,100.0,-1671.0,56.0,1394.0,1323.0,-221.0
FY2026,121.0,-1422.0,374.0,1806.0,1730.0,758.0
