Period,Depreciation(in Cr),Dividend Payout %(in %),EPS in Rs(in Rs),Expenses(in Cr),Interest(in Cr),Net Profit(in Cr),OPM %(in %),Operating Profit(in Cr),Other Income(in Cr),Profit before tax(in Cr),Sales(in Cr),Tax %(in %)
FY2015,75.0,58.0,20.55,3159.0,0.0,559.0,21.0,823.0,32.0,780.0,3982.0,28.0
FY2016,111.0,47.0,21.37,2929.0,0.0,581.0,24.0,940.0,7.0,835.0,3868.0,30.0
FY2017,133.0,47.0,21.23,3038.0,0.0,577.0,24.0,944.0,41.0,851.0,3982.0,32.0
FY2018,157.0,97.0,24.76,3074.0,0.0,673.0,27.0,1114.0,26.0,983.0,4188.0,32.0
FY2019,159.0,81.0,28.52,3226.0,2.0,776.0,28.0,1236.0,68.0,1143.0,4462.0,32.0
FY2020,198.0,93.0,30.02,3323.0,10.0,816.0,27.0,1202.0,49.0,1043.0,4525.0,22.0
FY2021,182.0,100.0,38.07,3331.0,7.0,1035.0,31.0,1510.0,30.0,1350.0,4841.0,23.0
FY2022,177.0,101.0,39.65,3534.0,6.0,1078.0,31.0,1566.0,26.0,1409.0,5100.0,23.0
FY2023,175.0,101.0,38.5,3679.0,5.0,1047.0,30.0,1547.0,42.0,1410.0,5226.0,26.0
FY2024,172.0,119.0,48.67,3779.0,5.0,1324.0,33.0,1901.0,57.0,1781.0,5680.0,26.0
FY2025,163.0,97.0,52.83,4082.0,4.0,1437.0,32.0,1958.0,139.0,1930.0,6040.0,26.0
FY2026,146.0,99.0,48.73,4165.0,4.0,1325.0,31.0,1870.0,64.0,1784.0,6035.0,26.0
