Period,Borrowings(in Cr),CWIP(in Cr),Equity Capital(in Cr),Fixed Assets(in Cr),Investments(in Cr),Other Assets(in Cr),Other Liabilities(in Cr),Reserves(in Cr),Total Assets(in Cr),Total Liabilities(in Cr)
FY2015,129.0,12.0,176.0,683.0,1778.0,1215.0,1223.0,2161.0,3688.0,3688.0
FY2016,87.0,25.0,176.0,639.0,2570.0,1196.0,1248.0,2918.0,4430.0,4430.0
FY2017,284.0,28.0,176.0,993.0,3054.0,1141.0,1275.0,3482.0,5217.0,5217.0
FY2018,287.0,27.0,176.0,1030.0,3433.0,1322.0,1299.0,4051.0,5813.0,5813.0
FY2019,310.0,22.0,177.0,1037.0,2962.0,1558.0,1300.0,3792.0,5579.0,5579.0
FY2020,151.0,106.0,177.0,1134.0,2467.0,2393.0,1375.0,4398.0,6100.0,6100.0
FY2021,180.0,107.0,177.0,1205.0,3574.0,2618.0,1933.0,5214.0,7504.0,7504.0
FY2022,560.0,128.0,177.0,1399.0,5007.0,2057.0,2168.0,5687.0,8592.0,8592.0
FY2023,615.0,109.0,177.0,1662.0,5475.0,2106.0,2450.0,6110.0,9352.0,9352.0
FY2024,776.0,184.0,177.0,1878.0,6148.0,2322.0,2841.0,6738.0,10533.0,10533.0
FY2025,379.0,137.0,177.0,2036.0,6359.0,2474.0,3203.0,7246.0,11005.0,11005.0
FY2026,611.0,108.0,177.0,2052.0,7248.0,2364.0,3635.0,7349.0,11773.0,11773.0
