Period,CFO/OP(in %),Cash from Financing Activity(in Cr),Cash from Investing Activity(in Cr),Cash from Operating Activity(in Cr),Free Cash Flow(in Cr),Net Cash Flow(in Cr)
FY2015,111.0,-337.0,-613.0,839.0,743.0,-111.0
FY2016,111.0,-455.0,-494.0,960.0,863.0,11.0
FY2017,108.0,-274.0,-679.0,927.0,519.0,-26.0
FY2018,91.0,-496.0,-261.0,816.0,717.0,59.0
FY2019,106.0,-1619.0,418.0,1124.0,1002.0,-78.0
FY2020,103.0,-826.0,-330.0,1155.0,902.0,-2.0
FY2021,127.0,-555.0,-1120.0,1704.0,1456.0,29.0
FY2022,95.0,-635.0,-682.0,1320.0,1025.0,3.0
FY2023,117.0,-940.0,-617.0,1562.0,1173.0,5.0
FY2024,111.0,-922.0,-736.0,1653.0,1198.0,-5.0
FY2025,114.0,-1511.0,-99.0,1623.0,1273.0,13.0
FY2026,124.0,-1293.0,-603.0,1885.0,1648.0,-11.0
