Period,Depreciation(in Cr),Dividend Payout %(in %),EPS in Rs(in Rs),Expenses(in Cr),Interest(in Cr),Net Profit(in Cr),OPM %(in %),Operating Profit(in Cr),Other Income(in Cr),Profit before tax(in Cr),Sales(in Cr),Tax %(in %)
FY2015,66.0,46.0,4.34,4480.0,10.0,763.0,17.0,940.0,112.0,977.0,5420.0,22.0
FY2016,73.0,42.0,5.33,4242.0,10.0,937.0,21.0,1098.0,194.0,1209.0,5340.0,22.0
FY2017,75.0,40.0,5.67,4178.0,16.0,998.0,21.0,1112.0,274.0,1294.0,5291.0,23.0
FY2018,102.0,123.0,6.09,4360.0,22.0,1072.0,22.0,1232.0,266.0,1373.0,5592.0,22.0
FY2019,109.0,38.0,7.16,4906.0,30.0,1264.0,22.0,1367.0,275.0,1503.0,6273.0,16.0
FY2020,130.0,45.0,6.62,4927.0,19.0,1170.0,22.0,1383.0,175.0,1408.0,6310.0,17.0
FY2021,143.0,61.0,7.82,5626.0,9.0,1382.0,22.0,1559.0,277.0,1683.0,7185.0,18.0
FY2022,160.0,64.0,8.11,6445.0,19.0,1433.0,21.0,1734.0,341.0,1896.0,8180.0,24.0
FY2023,188.0,67.0,7.75,6984.0,46.0,1373.0,20.0,1701.0,363.0,1829.0,8684.0,25.0
FY2024,209.0,65.0,8.52,7295.0,81.0,1509.0,20.0,1840.0,416.0,1967.0,9136.0,23.0
FY2025,251.0,101.0,7.92,7363.0,100.0,1403.0,19.0,1708.0,451.0,1808.0,9071.0,22.0
FY2026,261.0,98.0,8.41,7602.0,82.0,1491.0,19.0,1781.0,463.0,1901.0,9383.0,22.0
