Period,Borrowings(in Cr),CWIP(in Cr),Equity Capital(in Cr),Fixed Assets(in Cr),Investments(in Cr),Other Assets(in Cr),Other Liabilities(in Cr),Reserves(in Cr),Total Assets(in Cr),Total Liabilities(in Cr)
FY2015,24.0,25.0,23.0,424.0,502.0,605.0,320.0,1189.0,1556.0,1556.0
FY2016,660.0,60.0,23.0,1894.0,95.0,482.0,312.0,1537.0,2532.0,2532.0
FY2017,435.0,20.0,23.0,1952.0,128.0,340.0,294.0,1690.0,2441.0,2441.0
FY2018,279.0,30.0,23.0,1763.0,315.0,489.0,347.0,1949.0,2598.0,2598.0
FY2019,54.0,36.0,45.0,1643.0,187.0,716.0,464.0,2019.0,2583.0,2583.0
FY2020,158.0,8.0,45.0,1422.0,161.0,844.0,475.0,1757.0,2435.0,2435.0
FY2021,47.0,6.0,44.0,1100.0,264.0,934.0,498.0,1715.0,2304.0,2304.0
FY2022,224.0,3.0,44.0,1270.0,361.0,1192.0,516.0,2042.0,2826.0,2826.0
FY2023,21.0,2.0,44.0,1088.0,392.0,1270.0,467.0,2220.0,2751.0,2751.0
FY2024,22.0,5.0,44.0,960.0,560.0,1322.0,441.0,2339.0,2847.0,2847.0
FY2025,14.0,12.0,44.0,840.0,995.0,1536.0,503.0,2824.0,3384.0,3384.0
FY2026,92.0,1.0,44.0,749.0,1196.0,1780.0,478.0,3112.0,3726.0,3726.0
