Period,CFO/OP(in %),Cash from Financing Activity(in Cr),Cash from Investing Activity(in Cr),Cash from Operating Activity(in Cr),Free Cash Flow(in Cr),Net Cash Flow(in Cr)
FY2015,116.0,-221.0,-217.0,497.0,398.0,59.0
FY2016,96.0,511.0,-1294.0,534.0,410.0,-249.0
FY2017,105.0,-519.0,-261.0,715.0,440.0,-64.0
FY2018,93.0,-331.0,-237.0,577.0,456.0,9.0
FY2019,85.0,-434.0,20.0,513.0,384.0,99.0
FY2020,103.0,-399.0,-251.0,546.0,403.0,-105.0
FY2021,112.0,-679.0,-200.0,878.0,847.0,-0.0
FY2022,81.0,-398.0,-188.0,596.0,122.0,10.0
FY2023,108.0,-612.0,-106.0,731.0,710.0,13.0
FY2024,102.0,-546.0,-192.0,740.0,713.0,1.0
FY2025,110.0,-368.0,-465.0,864.0,824.0,31.0
FY2026,99.0,-462.0,-257.0,794.0,760.0,75.0
