Period,Depreciation(in Cr),Dividend Payout %(in %),EPS in Rs(in Rs),Expenses(in Cr),Interest(in Cr),Net Profit(in Cr),OPM %(in %),Operating Profit(in Cr),Other Income(in Cr),Profit before tax(in Cr),Sales(in Cr),Tax %(in %)
FY2015,31.0,34.0,10.39,1393.0,5.0,472.0,27.0,511.0,103.0,577.0,1904.0,18.0
FY2016,252.0,48.0,7.32,1495.0,54.0,332.0,30.0,655.0,38.0,387.0,2150.0,14.0
FY2017,305.0,46.0,7.63,1562.0,58.0,346.0,32.0,739.0,45.0,422.0,2302.0,18.0
FY2018,305.0,51.0,6.82,1654.0,33.0,310.0,30.0,700.0,28.0,389.0,2354.0,20.0
FY2019,318.0,59.0,6.72,1782.0,19.0,305.0,28.0,706.0,27.0,396.0,2489.0,23.0
FY2020,326.0,63.0,6.37,1798.0,19.0,289.0,25.0,592.0,91.0,338.0,2390.0,14.0
FY2021,361.0,75.0,10.69,1738.0,12.0,475.0,33.0,845.0,103.0,574.0,2582.0,17.0
FY2022,328.0,41.0,19.28,1970.0,3.0,851.0,31.0,897.0,123.0,689.0,2867.0,-23.0
FY2023,215.0,62.0,13.0,2129.0,4.0,574.0,27.0,777.0,48.0,606.0,2907.0,5.0
FY2024,167.0,50.0,15.89,2070.0,2.0,693.0,29.0,852.0,63.0,747.0,2922.0,7.0
FY2025,158.0,51.0,19.68,2186.0,2.0,859.0,30.0,937.0,157.0,934.0,3124.0,8.0
FY2026,156.0,31.0,19.28,2098.0,2.0,842.0,31.0,950.0,108.0,901.0,3048.0,7.0
