Period,Acquisition of companies(in Cr),Advance from Customers(in Cr),Cash Equivalents(in Cr),Direct taxes(in Cr),Dividends paid(in Cr),Dividends received(in Cr),Employee Cost %(in %),Financial liabilities(in Cr),Fixed assets purchased(in Cr),Fixed assets sold(in Cr),Interest paid fin(in Cr),Interest received(in Cr),Inventories(in Cr),Inventory(in Cr),Invest in subsidiaries(in Cr),Investment in group cos(in Cr),Investments purchased(in Cr),Investments sold(in Cr),Lease Liabilities(in Cr),Loans Advances(in Cr),Loans n Advances(in Cr),Loans to subsidiaries(in Cr),Long term Borrowings(in Cr),Manufacturing Cost %(in %),Material Cost %(in %),Other Borrowings(in Cr),Other Cost %(in %),Other WC items(in Cr),Other asset items(in Cr),Other financing items(in Cr),Other investing items(in Cr),Other liability items(in Cr),Payables(in Cr),Proceeds from borrowings(in Cr),Profit from operations(in Cr),Receivables(in Cr),Repayment of borrowings(in Cr),Short term Borrowings(in Cr),Trade Payables(in Cr),Trade receivables(in Cr),Working capital changes(in Cr)
FY2015,0.0,6.0,326.0,-95.0,-181.0,101.0,7.85,0.0,-100.0,1.0,-5.0,57.0,118.0,18.0,0.0,0.0,-1811.0,1527.0,0.0,0.0,45.0,0.0,0.0,1.66,39.09,16.0,24.57,6.0,60.0,-35.0,7.0,187.0,24.0,0.0,526.0,18.0,0.0,8.0,127.0,56.0,66.0
FY2016,0.0,9.0,73.0,-92.0,-68.0,70.0,8.25,0.0,-125.0,1.0,-52.0,11.0,143.0,-25.0,0.0,0.0,-2091.0,2520.0,0.0,-3.0,7.0,0.0,300.0,1.63,35.83,0.0,23.83,-84.0,207.0,630.0,-1680.0,116.0,71.0,0.0,664.0,3.0,0.0,360.0,188.0,53.0,-38.0
FY2017,0.0,5.0,9.0,-64.0,-199.0,89.0,8.72,0.0,-278.0,3.0,-58.0,1.0,169.0,-26.0,0.0,0.0,-1883.0,1806.0,0.0,0.0,57.0,0.0,0.0,2.0,32.94,300.0,24.22,76.0,72.0,-972.0,-0.0,140.0,-41.0,710.0,751.0,19.0,0.0,135.0,149.0,34.0,28.0
FY2018,0.0,7.0,22.0,-74.0,-119.0,88.0,9.45,0.0,-122.0,0.0,-33.0,1.0,184.0,-15.0,-8.0,0.0,-1110.0,919.0,0.0,0.0,33.0,-3.0,0.0,2.11,33.05,0.0,25.65,-75.0,181.0,-663.0,-4.0,156.0,63.0,485.0,713.0,-35.0,0.0,279.0,184.0,70.0,-62.0
FY2019,0.0,10.0,111.0,-86.0,-159.0,7.0,9.79,0.0,-135.0,6.0,-19.0,14.0,214.0,-30.0,0.0,0.0,-849.0,969.0,0.0,0.0,62.0,-1.0,0.0,2.38,35.18,0.0,24.26,-35.0,188.0,-37.0,10.0,229.0,36.0,80.0,700.0,-73.0,-299.0,54.0,225.0,142.0,-101.0
FY2020,0.0,5.0,57.0,-65.0,-363.0,39.0,10.95,-3.0,-154.0,11.0,-19.0,5.0,226.0,-12.0,0.0,0.0,-1808.0,1749.0,0.0,0.0,101.0,-33.0,0.0,2.48,33.74,0.0,28.06,1.0,278.0,-28.0,-61.0,230.0,14.0,75.0,664.0,-57.0,-61.0,158.0,239.0,182.0,-54.0
FY2021,0.0,8.0,308.0,-66.0,-356.0,28.0,10.56,-5.0,-33.0,2.0,-12.0,31.0,269.0,-43.0,0.0,0.0,-1780.0,1775.0,0.0,0.0,48.0,0.0,0.0,2.17,32.76,0.0,21.79,7.0,208.0,-317.0,-223.0,211.0,45.0,182.0,855.0,81.0,-171.0,47.0,279.0,100.0,89.0
FY2022,0.0,5.0,56.0,-130.0,-356.0,22.0,9.94,-6.0,-477.0,3.0,-3.0,24.0,329.0,-59.0,0.0,0.0,-1494.0,1488.0,11.0,0.0,42.0,-3.0,0.0,2.23,34.08,0.0,22.46,-50.0,572.0,-4.0,250.0,215.0,15.0,50.0,914.0,-93.0,-80.0,213.0,296.0,194.0,-188.0
FY2023,-13.0,6.0,96.0,-108.0,-353.0,1.0,10.45,-7.0,-32.0,10.0,-3.0,6.0,292.0,37.0,0.0,0.0,-2050.0,1975.0,10.0,0.0,45.0,-3.0,0.0,2.41,36.05,0.0,24.35,82.0,578.0,-246.0,-0.0,209.0,-43.0,229.0,825.0,-62.0,-232.0,11.0,252.0,260.0,14.0
FY2024,0.0,5.0,91.0,-131.0,-349.0,12.0,11.38,-9.0,-31.0,5.0,-2.0,7.0,268.0,24.0,-0.0,-95.0,-1970.0,1944.0,15.0,0.0,24.0,-9.0,0.0,2.43,32.8,0.0,24.23,4.0,656.0,-183.0,-55.0,197.0,7.0,24.0,864.0,-27.0,-28.0,7.0,240.0,283.0,7.0
FY2025,0.0,7.0,182.0,-168.0,-349.0,65.0,11.86,-9.0,-41.0,1.0,-2.0,12.0,259.0,10.0,-129.0,0.0,-2361.0,2133.0,14.0,0.0,29.0,-19.0,0.0,2.26,31.3,0.0,24.57,26.0,782.0,-0.0,-126.0,220.0,45.0,10.0,955.0,-4.0,-17.0,0.0,276.0,285.0,76.0
FY2026,0.0,,317.0,-147.0,-524.0,34.0,11.84,-11.0,-37.0,3.0,-2.0,15.0,334.0,-76.0,-70.0,0.0,-3012.0,2851.0,17.0,6.0,58.0,0.0,0.0,0.0,29.61,,27.39,-39.0,881.0,-0.0,-39.0,185.0,1.0,75.0,951.0,99.0,0.0,75.0,293.0,190.0,-10.0
