Period,Borrowings(in Cr),CWIP(in Cr),Equity Capital(in Cr),Fixed Assets(in Cr),Investments(in Cr),Other Assets(in Cr),Other Liabilities(in Cr),Reserves(in Cr),Total Assets(in Cr),Total Liabilities(in Cr)
FY2015,261.0,179.0,34.0,1060.0,2300.0,1383.0,1278.0,3349.0,4922.0,4922.0
FY2016,3.0,13.0,34.0,1284.0,2612.0,1217.0,1339.0,3750.0,5126.0,5126.0
FY2017,149.0,39.0,34.0,1284.0,3655.0,1184.0,1640.0,4340.0,6162.0,6162.0
FY2018,-0.0,52.0,68.0,1314.0,3902.0,1355.0,1982.0,4573.0,6624.0,6624.0
FY2019,-0.0,32.0,102.0,1344.0,3425.0,1864.0,1738.0,4824.0,6665.0,6665.0
FY2020,326.0,37.0,102.0,1365.0,3593.0,1945.0,1487.0,5025.0,6941.0,6941.0
FY2021,44.0,37.0,102.0,1390.0,4568.0,1700.0,1293.0,6257.0,7696.0,7696.0
FY2022,31.0,78.0,102.0,1392.0,5201.0,2212.0,1000.0,7749.0,8883.0,8883.0
FY2023,66.0,25.0,102.0,1523.0,7408.0,1606.0,1109.0,9284.0,10561.0,10561.0
FY2024,2009.0,70.0,102.0,4316.0,6764.0,1838.0,1427.0,9450.0,12988.0,12988.0
FY2025,2646.0,401.0,102.0,4406.0,6596.0,1959.0,2351.0,8263.0,13362.0,13362.0
FY2026,2948.0,132.0,102.0,5505.0,5847.0,1881.0,2573.0,7742.0,13365.0,13365.0
