Period,CFO/OP(in %),Cash from Financing Activity(in Cr),Cash from Investing Activity(in Cr),Cash from Operating Activity(in Cr),Free Cash Flow(in Cr),Net Cash Flow(in Cr)
FY2015,114.0,-309.0,-454.0,783.0,678.0,19.0
FY2016,71.0,-542.0,-100.0,512.0,420.0,-129.0
FY2017,124.0,-121.0,-1009.0,1177.0,1074.0,47.0
FY2018,114.0,-935.0,-302.0,1235.0,1122.0,-2.0
FY2019,93.0,-1548.0,460.0,1082.0,1002.0,-6.0
FY2020,82.0,-745.0,-191.0,920.0,835.0,-16.0
FY2021,101.0,-356.0,-1019.0,1374.0,1309.0,-1.0
FY2022,74.0,-20.0,-968.0,961.0,805.0,-28.0
FY2023,123.0,9.0,-2004.0,1977.0,1815.0,-18.0
FY2024,94.0,1239.0,-2980.0,1823.0,1639.0,82.0
FY2025,115.0,-2165.0,76.0,2114.0,1649.0,24.0
FY2026,97.0,-2052.0,200.0,1791.0,1359.0,-62.0
