Period,Depreciation(in Cr),Dividend Payout %(in %),EPS in Rs(in Rs),Expenses(in Cr),Interest(in Cr),Net Profit(in Cr),OPM %(in %),Operating Profit(in Cr),Other Income(in Cr),Profit before tax(in Cr),Sales(in Cr),Tax %(in %)
FY2015,42.0,29.0,6.41,3588.0,39.0,654.0,19.0,842.0,65.0,827.0,4430.0,21.0
FY2016,45.0,27.0,7.07,3556.0,55.0,723.0,22.0,998.0,50.0,948.0,4554.0,24.0
FY2017,57.0,60.0,8.3,3612.0,36.0,848.0,24.0,1136.0,64.0,1107.0,4748.0,23.0
FY2018,63.0,68.0,9.78,3931.0,52.0,1000.0,25.0,1330.0,74.0,1289.0,5261.0,22.0
FY2019,69.0,58.0,17.17,4167.0,65.0,1755.0,27.0,1513.0,94.0,1473.0,5679.0,-19.0
FY2020,81.0,69.0,11.54,4027.0,58.0,1180.0,26.0,1448.0,91.0,1400.0,5474.0,16.0
FY2021,83.0,-0.0,11.97,4602.0,25.0,1224.0,26.0,1653.0,49.0,1594.0,6254.0,23.0
FY2022,86.0,-0.0,14.46,5223.0,8.0,1479.0,25.0,1729.0,127.0,1762.0,6952.0,16.0
FY2023,108.0,-0.0,14.8,5798.0,3.0,1514.0,24.0,1869.0,112.0,1870.0,7667.0,19.0
FY2024,127.0,237.0,6.33,6169.0,134.0,647.0,27.0,2243.0,-697.0,1285.0,8411.0,50.0
FY2025,141.0,189.0,13.2,6810.0,191.0,1351.0,24.0,2100.0,248.0,2016.0,8910.0,33.0
FY2026,160.0,135.0,14.81,7238.0,199.0,1516.0,24.0,2236.0,145.0,2022.0,9474.0,25.0
