Period,Borrowings(in Cr),CWIP(in Cr),Equity Capital(in Cr),Fixed Assets(in Cr),Investments(in Cr),Other Assets(in Cr),Other Liabilities(in Cr),Reserves(in Cr),Total Assets(in Cr),Total Liabilities(in Cr)
FY2015,0.0,479.0,216.0,2458.0,3278.0,7420.0,9909.0,3508.0,13634.0,13634.0
FY2016,0.0,386.0,216.0,2914.0,2780.0,7840.0,7641.0,6063.0,13920.0,13920.0
FY2017,0.0,203.0,216.0,4024.0,3779.0,6745.0,8261.0,6274.0,14751.0,14751.0
FY2018,0.0,430.0,216.0,4142.0,3111.0,9466.0,10074.0,6859.0,17149.0,17149.0
FY2019,0.0,373.0,216.0,4343.0,2949.0,10200.0,10206.0,7443.0,17865.0,17865.0
FY2020,0.0,513.0,216.0,5056.0,1500.0,12533.0,11571.0,7815.0,19602.0,19602.0
FY2021,943.0,623.0,235.0,51027.0,2995.0,13471.0,19739.0,47199.0,68116.0,68116.0
FY2022,971.0,901.0,235.0,51034.0,4122.0,13680.0,20006.0,48525.0,69737.0,69737.0
FY2023,1039.0,1020.0,235.0,51405.0,3794.0,15606.0,20565.0,49986.0,71825.0,71825.0
FY2024,1374.0,915.0,235.0,52379.0,5493.0,18289.0,24729.0,50738.0,77076.0,77076.0
FY2025,1537.0,956.0,235.0,52907.0,4602.0,19848.0,27623.0,48918.0,78313.0,78313.0
FY2026,1325.0,833.0,235.0,52419.0,8879.0,15851.0,27434.0,48988.0,77982.0,77982.0
