Period,CFO/OP(in %),Cash from Financing Activity(in Cr),Cash from Investing Activity(in Cr),Cash from Operating Activity(in Cr),Free Cash Flow(in Cr),Net Cash Flow(in Cr)
FY2015,97.0,-3450.0,280.0,3272.0,3298.0,101.0
FY2016,99.0,-4008.0,-51.0,3974.0,3300.0,-85.0
FY2017,111.0,-4264.0,-752.0,4953.0,4101.0,-63.0
FY2018,111.0,-4651.0,-1261.0,5913.0,5086.0,1.0
FY2019,97.0,-5462.0,-264.0,5728.0,5004.0,2.0
FY2020,102.0,-6676.0,1926.0,7305.0,6592.0,2555.0
FY2021,100.0,-9280.0,-1067.0,8957.0,5003.0,-1390.0
FY2022,93.0,-7984.0,-1732.0,8964.0,8220.0,-752.0
FY2023,93.0,-8966.0,-1062.0,9626.0,8765.0,-402.0
FY2024,107.0,-9890.0,-4971.0,14884.0,13586.0,23.0
FY2025,97.0,-13031.0,6763.0,11606.0,10470.0,5338.0
FY2026,105.0,-10684.0,-3473.0,10496.0,9251.0,-3661.0
