Period,Depreciation(in Cr),Dividend Payout %(in %),EPS in Rs(in Rs),Expenses(in Cr),Interest(in Cr),Net Profit(in Cr),OPM %(in %),Operating Profit(in Cr),Other Income(in Cr),Profit before tax(in Cr),Sales(in Cr),Tax %(in %)
FY2015,287.0,75.0,19.95,25600.0,17.0,4315.0,17.0,5205.0,1285.0,6187.0,30806.0,30.0
FY2016,321.0,84.0,19.12,25312.0,15.0,4137.0,19.0,5749.0,533.0,5946.0,31061.0,30.0
FY2017,396.0,82.0,20.75,25843.0,22.0,4490.0,19.0,6047.0,767.0,6396.0,31890.0,30.0
FY2018,478.0,82.0,24.19,27249.0,20.0,5237.0,21.0,7276.0,507.0,7285.0,34525.0,28.0
FY2019,524.0,79.0,27.88,29587.0,28.0,6036.0,23.0,8637.0,437.0,8522.0,38224.0,29.0
FY2020,938.0,80.0,31.13,29185.0,106.0,6738.0,25.0,9600.0,536.0,9092.0,38785.0,26.0
FY2021,1012.0,120.0,33.85,34672.0,108.0,7954.0,25.0,11324.0,286.0,10490.0,45996.0,24.0
FY2022,1025.0,91.0,37.53,38690.0,98.0,8818.0,24.0,12503.0,359.0,11739.0,51193.0,25.0
FY2023,1030.0,92.0,42.4,45512.0,101.0,9962.0,23.0,13632.0,578.0,13079.0,59144.0,24.0
FY2024,1097.0,98.0,43.05,46279.0,302.0,10114.0,23.0,14190.0,884.0,13675.0,60469.0,26.0
FY2025,1122.0,117.0,45.3,45532.0,350.0,10644.0,24.0,14144.0,1632.0,14304.0,59676.0,26.0
FY2026,1186.0,62.0,65.66,47511.0,363.0,15427.0,23.0,14464.0,5572.0,18487.0,61975.0,17.0
