Period,Borrowings(in Cr),CWIP(in Cr),Equity Capital(in Cr),Fixed Assets(in Cr),Investments(in Cr),Other Assets(in Cr),Other Liabilities(in Cr),Reserves(in Cr),Total Assets(in Cr),Total Liabilities(in Cr)
FY2015,53.0,2114.0,802.0,14178.0,8405.0,19498.0,13407.0,29934.0,44196.0,44196.0
FY2016,42.0,2419.0,805.0,14011.0,13325.0,20277.0,8333.0,40852.0,50031.0,50031.0
FY2017,26.0,3537.0,1215.0,14880.0,18585.0,17213.0,8849.0,44126.0,54216.0,54216.0
FY2018,18.0,5026.0,1220.0,15566.0,23397.0,18393.0,10963.0,50180.0,62381.0,62381.0
FY2019,11.0,3401.0,1226.0,18486.0,26578.0,21332.0,11837.0,56724.0,69798.0,69798.0
FY2020,332.0,2780.0,1229.0,20518.0,30631.0,21307.0,10874.0,62800.0,75235.0,75235.0
FY2021,329.0,3333.0,1231.0,22188.0,26984.0,19075.0,12246.0,57774.0,71580.0,71580.0
FY2022,311.0,2466.0,1232.0,23221.0,27282.0,22123.0,13382.0,60167.0,75092.0,75092.0
FY2023,325.0,1697.0,1243.0,24174.0,32721.0,23670.0,14343.0,66351.0,82262.0,82262.0
FY2024,312.0,1087.0,1248.0,25743.0,34739.0,25759.0,14782.0,70985.0,87328.0,87328.0
FY2025,157.0,1071.0,1251.0,19990.0,35983.0,26962.0,15954.0,66642.0,84005.0,84005.0
FY2026,2162.0,1554.0,1253.0,20472.0,39111.0,27779.0,16825.0,68676.0,88916.0,88916.0
