Period,CFO/OP(in %),Cash from Financing Activity(in Cr),Cash from Investing Activity(in Cr),Cash from Operating Activity(in Cr),Free Cash Flow(in Cr),Net Cash Flow(in Cr)
FY2015,100.0,-4574.0,-4820.0,9309.0,6264.0,-85.0
FY2016,102.0,-5465.0,-3711.0,9212.0,7074.0,36.0
FY2017,104.0,-7138.0,-2780.0,10002.0,7105.0,84.0
FY2018,118.0,-6020.0,-6691.0,12651.0,10103.0,-60.0
FY2019,99.0,-6601.0,-5082.0,11749.0,8990.0,67.0
FY2020,103.0,-7891.0,-5517.0,13806.0,11693.0,399.0
FY2021,99.0,-18379.0,6555.0,11494.0,9914.0,-330.0
FY2022,102.0,-13337.0,-1517.0,14808.0,13133.0,-46.0
FY2023,99.0,-12730.0,-5159.0,17912.0,16102.0,22.0
FY2024,93.0,-18255.0,2128.0,16118.0,13572.0,-9.0
FY2025,95.0,-16766.0,36.0,16754.0,15123.0,24.0
FY2026,91.0,-15694.0,-1538.0,17095.0,15075.0,-138.0
