Period,Depreciation(in Cr),Dividend Payout %(in %),EPS in Rs(in Rs),Expenses(in Cr),Interest(in Cr),Net Profit(in Cr),OPM %(in %),Operating Profit(in Cr),Other Income(in Cr),Profit before tax(in Cr),Sales(in Cr),Tax %(in %)
FY2015,962.0,52.0,7.99,22970.0,78.0,9608.0,37.0,13519.0,1518.0,13998.0,36490.0,31.0
FY2016,1001.0,73.0,7.73,22843.0,72.0,9328.0,38.0,13740.0,1767.0,14434.0,36583.0,35.0
FY2017,1038.0,57.0,8.4,25474.0,45.0,10201.0,36.0,14605.0,1981.0,15503.0,40080.0,34.0
FY2018,1145.0,56.0,9.2,25041.0,110.0,11223.0,38.0,15578.0,2528.0,16852.0,40620.0,33.0
FY2019,1312.0,57.0,10.17,27551.0,58.0,12464.0,39.0,17431.0,2382.0,18444.0,44983.0,32.0
FY2020,1563.0,82.0,12.31,27635.0,80.0,15136.0,39.0,17985.0,2825.0,19167.0,45620.0,21.0
FY2021,1562.0,102.0,10.59,29895.0,59.0,13032.0,34.0,15590.0,3195.0,17164.0,45485.0,24.0
FY2022,1652.0,94.0,12.22,37448.0,61.0,15058.0,34.0,18893.0,2649.0,19830.0,56341.0,24.0
FY2023,1663.0,103.0,15.09,42062.0,74.0,18753.0,36.0,23981.0,2506.0,24750.0,66043.0,24.0
FY2024,1357.0,84.0,16.36,39193.0,34.0,20422.0,37.0,23435.0,4100.0,26144.0,62628.0,22.0
FY2025,1442.0,51.0,28.13,45419.0,36.0,35197.0,34.0,23906.0,19206.0,41634.0,69326.0,15.0
FY2026,1474.0,90.0,16.19,46787.0,70.0,20286.0,35.0,25196.0,3115.0,26768.0,71984.0,24.0
