Period,Advance from Customers(in Cr),Cash Equivalents(in Cr),Direct taxes(in Cr),Dividends paid(in Cr),Dividends received(in Cr),Employee Cost %(in %),Financial liabilities(in Cr),Fixed assets purchased(in Cr),Fixed assets sold(in Cr),Interest paid fin(in Cr),Interest received(in Cr),Inventories(in Cr),Inventory(in Cr),Invest in subsidiaries(in Cr),Investment in group cos(in Cr),Investments purchased(in Cr),Investments sold(in Cr),Lease Liabilities(in Cr),Loans n Advances(in Cr),Long term Borrowings(in Cr),Manufacturing Cost %(in %),Material Cost %(in %),Other Borrowings(in Cr),Other Cost %(in %),Other asset items(in Cr),Other financing items(in Cr),Other investing items(in Cr),Other liability items(in Cr),Payables(in Cr),Proceeds from borrowings(in Cr),Proceeds from shares(in Cr),Profit from operations(in Cr),Receivables(in Cr),Redemp n Canc of Shares(in Cr),Repayment of borrowings(in Cr),Short term Borrowings(in Cr),Trade Payables(in Cr),Trade receivables(in Cr),Working capital changes(in Cr)
FY2015,640.0,7589.0,-4226.0,-4772.0,577.0,4.88,0.0,-3051.0,7.0,-6.0,552.0,7837.0,-469.0,-89.0,-4.0,-88047.0,88781.0,0.0,84.0,39.0,5.62,40.21,14.0,12.25,2266.0,-759.0,-3545.0,10863.0,-72.0,0.0,979.0,13504.0,572.0,0.0,-15.0,0.0,1905.0,1722.0,30.0
FY2016,908.0,5639.0,-4828.0,-5010.0,377.0,6.44,0.0,-2145.0,7.0,-23.0,716.0,8520.0,-683.0,-408.0,0.0,-145078.0,141692.0,0.0,13.0,26.0,5.59,36.77,13.0,13.64,4418.0,-950.0,1128.0,5197.0,628.0,0.0,532.0,14291.0,-197.0,0.0,-14.0,4.0,2228.0,1686.0,-252.0
FY2017,580.0,2747.0,-5213.0,-6840.0,249.0,6.1,0.0,-2944.0,47.0,-22.0,720.0,7864.0,656.0,-140.0,0.0,-79279.0,74904.0,0.0,3.0,18.0,5.38,39.86,8.0,12.22,4391.0,-1330.0,3403.0,5718.0,266.0,0.0,1067.0,15152.0,-859.0,259.0,-13.0,0.0,2551.0,2208.0,63.0
FY2018,571.0,2595.0,-5720.0,-5770.0,410.0,6.12,0.0,-2619.0,71.0,-45.0,691.0,7237.0,627.0,-224.0,0.0,-94557.0,91080.0,0.0,1182.0,11.0,5.52,38.87,7.0,11.13,5021.0,-1109.0,-1561.0,7010.0,2077.0,0.0,913.0,16450.0,-784.0,18.0,-8.0,0.0,3382.0,2357.0,1920.0
FY2019,581.0,3769.0,-5486.0,-6285.0,416.0,6.07,0.0,-2769.0,9.0,-87.0,1113.0,7587.0,-350.0,-426.0,0.0,-90368.0,88835.0,0.0,603.0,8.0,5.56,38.47,3.0,11.15,5727.0,-1191.0,-1910.0,7888.0,568.0,0.0,969.0,17717.0,-699.0,18.0,-7.0,0.0,3368.0,3646.0,-482.0
FY2020,885.0,6843.0,-4650.0,-7049.0,551.0,5.83,-44.0,-2140.0,27.0,-46.0,1437.0,8038.0,-451.0,-202.0,0.0,-76791.0,72644.0,0.0,5.0,0.0,5.59,37.78,332.0,11.38,4329.0,-1375.0,-1041.0,6542.0,-658.0,0.0,625.0,18038.0,1527.0,0.0,-3.0,0.0,3447.0,2092.0,418.0
FY2021,995.0,4002.0,-3957.0,-18629.0,724.0,6.2,-50.0,-1582.0,3.0,-43.0,1199.0,9471.0,-1351.0,-362.0,-2.0,-53114.0,58498.0,324.0,3.0,5.0,4.74,43.91,0.0,10.87,3510.0,55.0,1190.0,7132.0,1055.0,0.0,291.0,15845.0,-99.0,0.0,-2.0,0.0,4119.0,2090.0,-395.0
FY2022,1382.0,3878.0,-4510.0,-13547.0,857.0,5.43,-54.0,-1812.0,137.0,-42.0,963.0,9998.0,-527.0,-427.0,-2.0,-65103.0,66286.0,306.0,6.0,5.0,4.74,46.56,0.0,9.74,6290.0,15.0,-2417.0,7776.0,946.0,0.0,292.0,19134.0,-235.0,0.0,-0.0,1.0,4223.0,1952.0,184.0
FY2023,1276.0,3831.0,-5801.0,-15150.0,557.0,5.4,-52.0,-1858.0,49.0,-40.0,1216.0,10594.0,-752.0,-1184.0,-2.0,-75275.0,71778.0,320.0,6.0,3.0,5.17,43.73,0.0,9.39,6918.0,35.0,-514.0,8716.0,755.0,0.0,2477.0,24312.0,-603.0,74.0,-1.0,1.0,4351.0,2321.0,-600.0
FY2024,829.0,6218.0,-5683.0,-19606.0,990.0,5.11,-57.0,-2647.0,101.0,-46.0,1017.0,12632.0,-2187.0,-1050.0,-87.0,-67677.0,70615.0,309.0,30.0,2.0,4.63,42.67,0.0,10.17,3567.0,12.0,867.0,9464.0,17.0,0.0,1443.0,24859.0,-888.0,0.0,-1.0,2.0,4490.0,3311.0,-3058.0
FY2025,1357.0,3185.0,-5845.0,-17497.0,1020.0,4.93,-47.0,-1789.0,158.0,-45.0,987.0,15061.0,-2695.0,-866.0,-30.0,-59693.0,60352.0,155.0,9.0,0.0,4.54,45.78,0.0,10.26,4796.0,28.0,-103.0,10107.0,1334.0,0.0,797.0,24799.0,-840.0,0.0,-2.0,2.0,4490.0,3911.0,-2200.0
FY2026,1368.0,2136.0,-5795.0,-17968.0,972.0,5.04,-42.0,-2069.0,49.0,-50.0,857.0,17932.0,-3158.0,-199.0,-182.0,-62295.0,59982.0,136.0,8.0,0.0,4.64,44.8,0.0,10.52,4778.0,9.0,1347.0,10185.0,-226.0,2000.0,405.0,25612.0,662.0,0.0,-49.0,2026.0,5272.0,2926.0,-2722.0
