Period,CFO/OP(in %),Cash from Financing Activity(in Cr),Cash from Investing Activity(in Cr),Cash from Operating Activity(in Cr),Free Cash Flow(in Cr),Net Cash Flow(in Cr)
FY2015,104.0,-612.0,60.0,552.0,489.0,-1.0
FY2016,100.0,-549.0,-86.0,629.0,558.0,-6.0
FY2017,74.0,-560.0,87.0,471.0,409.0,-2.0
FY2018,71.0,-602.0,187.0,409.0,337.0,-6.0
FY2019,103.0,-704.0,-79.0,785.0,648.0,2.0
FY2020,106.0,-1081.0,128.0,970.0,837.0,17.0
FY2021,157.0,-992.0,-583.0,1564.0,1511.0,-11.0
FY2022,77.0,-1267.0,626.0,656.0,560.0,15.0
FY2023,96.0,-676.0,-346.0,1002.0,1002.0,-20.0
FY2024,92.0,-1194.0,167.0,1044.0,954.0,17.0
FY2025,103.0,-455.0,-681.0,1148.0,1066.0,12.0
FY2026,140.0,-1004.0,-534.0,1609.0,1356.0,71.0
