Period,Depreciation(in Cr),Dividend Payout %(in %),EPS in Rs(in Rs),Expenses(in Cr),Interest(in Cr),Net Profit(in Cr),OPM %(in %),Operating Profit(in Cr),Other Income(in Cr),Profit before tax(in Cr),Sales(in Cr),Tax %(in %)
FY2015,55.0,30.0,4.23,4006.0,17.0,545.0,14.0,676.0,127.0,731.0,4681.0,25.0
FY2016,69.0,79.0,5.36,4032.0,15.0,691.0,17.0,829.0,191.0,936.0,4861.0,26.0
FY2017,64.0,54.0,6.53,3894.0,13.0,843.0,20.0,957.0,262.0,1142.0,4851.0,26.0
FY2018,67.0,76.0,5.56,4255.0,8.0,718.0,18.0,915.0,114.0,954.0,5170.0,25.0
FY2019,104.0,54.0,8.75,4961.0,24.0,1129.0,17.0,1010.0,301.0,1183.0,5971.0,5.0
FY2020,113.0,86.0,7.8,4733.0,33.0,1007.0,19.0,1120.0,287.0,1261.0,5853.0,20.0
FY2021,107.0,87.0,8.56,5183.0,22.0,1106.0,18.0,1154.0,286.0,1311.0,6337.0,16.0
FY2022,97.0,103.0,9.0,6317.0,30.0,1163.0,16.0,1183.0,357.0,1413.0,7500.0,18.0
FY2023,109.0,49.0,9.12,6169.0,36.0,1179.0,18.0,1309.0,328.0,1492.0,7478.0,21.0
FY2024,107.0,114.0,8.33,5596.0,32.0,1078.0,20.0,1406.0,135.0,1402.0,7002.0,23.0
FY2025,123.0,88.0,11.9,6132.0,23.0,1541.0,19.0,1449.0,591.0,1894.0,7581.0,19.0
FY2026,142.0,27.0,14.95,7961.0,27.0,1941.0,15.0,1441.0,987.0,2259.0,9402.0,14.0
