Period,Advance from Customers(in Cr),Cash Equivalents(in Cr),Direct taxes(in Cr),Dividends paid(in Cr),Dividends received(in Cr),Employee Cost %(in %),Financial liabilities(in Cr),Fixed assets purchased(in Cr),Fixed assets sold(in Cr),Inter corporate deposits(in Cr),Interest paid fin(in Cr),Interest received(in Cr),Inventories(in Cr),Inventory(in Cr),Invest in subsidiaries(in Cr),Investment in group cos(in Cr),Investments purchased(in Cr),Investments sold(in Cr),Lease Liabilities(in Cr),Loans Advances(in Cr),Loans n Advances(in Cr),Loans to subsidiaries(in Cr),Long term Borrowings(in Cr),Manufacturing Cost %(in %),Material Cost %(in %),Other Borrowings(in Cr),Other Cost %(in %),Other WC items(in Cr),Other asset items(in Cr),Other financing items(in Cr),Other investing items(in Cr),Other liability items(in Cr),Payables(in Cr),Proceeds from borrowings(in Cr),Proceeds from debentures(in Cr),Proceeds from shares(in Cr),Profit from operations(in Cr),Receivables(in Cr),Redemp n Canc of Shares(in Cr),Repayment of borrowings(in Cr),Short term Borrowings(in Cr),Trade Payables(in Cr),Trade receivables(in Cr),Working capital changes(in Cr)
FY2015,26.0,97.0,-151.0,-287.0,106.0,4.0,0.0,-64.0,0.0,-45.0,-282.0,6.0,792.0,-128.0,0.0,0.0,-182.0,225.0,0.0,0.0,70.0,4.0,169.0,14.0,49.0,94.0,18.0,134.0,324.0,0.0,8.0,187.0,0.0,0.0,-44.0,1.0,680.0,18.0,0.0,0.0,9.0,404.0,131.0,24.0
FY2016,18.0,140.0,-199.0,-501.0,139.0,5.0,0.0,-85.0,14.0,-32.0,-15.0,16.0,768.0,24.0,0.0,-1.0,-3138.0,2998.0,0.0,-45.0,87.0,0.0,0.0,13.0,45.0,179.0,20.0,-22.0,161.0,-34.0,4.0,193.0,79.0,0.0,0.0,0.0,854.0,-62.0,0.0,0.0,26.0,485.0,192.0,-26.0
FY2017,16.0,77.0,-241.0,-509.0,171.0,5.0,0.0,-62.0,1.0,-29.0,-13.0,21.0,1083.0,-315.0,0.0,-16.0,-2353.0,2355.0,0.0,0.0,50.0,0.0,0.0,13.0,43.0,0.0,19.0,77.0,134.0,-38.0,-0.0,238.0,-9.0,0.0,0.0,0.0,993.0,-36.0,0.0,0.0,108.0,476.0,228.0,-282.0
FY2018,21.0,61.0,-241.0,-635.0,134.0,5.0,0.0,-74.0,2.0,0.0,-8.0,21.0,1313.0,-230.0,0.0,-19.0,-2533.0,2613.0,0.0,0.0,83.0,0.0,0.0,13.0,48.0,0.0,16.0,-123.0,234.0,41.0,43.0,249.0,110.0,0.0,0.0,0.0,954.0,-61.0,0.0,0.0,122.0,587.0,288.0,-304.0
FY2019,22.0,339.0,-259.0,-702.0,206.0,5.0,-17.0,-150.0,13.0,18.0,-24.0,31.0,1234.0,79.0,0.0,-6.0,0.0,79.0,0.0,0.0,69.0,0.0,0.0,12.0,51.0,0.0,15.0,-78.0,561.0,30.0,-270.0,401.0,128.0,9.0,0.0,0.0,1058.0,-143.0,0.0,0.0,131.0,715.0,430.0,-14.0
FY2020,18.0,80.0,-221.0,-1003.0,188.0,5.0,-26.0,-136.0,3.0,44.0,-33.0,50.0,1165.0,69.0,-1.0,-3.0,-189.0,0.0,0.0,-1.0,67.0,0.0,0.0,12.0,47.0,0.0,16.0,24.0,510.0,4.0,172.0,418.0,-6.0,0.0,0.0,0.0,1141.0,-36.0,0.0,-23.0,110.0,702.0,465.0,50.0
FY2021,30.0,711.0,-243.0,-969.0,255.0,6.0,-29.0,-57.0,4.0,-295.0,-23.0,35.0,873.0,289.0,-132.0,0.0,0.0,164.0,127.0,-2.0,131.0,0.0,0.0,10.0,52.0,0.0,14.0,32.0,431.0,-9.0,-558.0,306.0,139.0,32.0,0.0,6.0,1196.0,153.0,1.0,0.0,142.0,842.0,310.0,611.0
FY2022,17.0,295.0,-253.0,-1195.0,248.0,5.0,-28.0,-97.0,1.0,215.0,-30.0,43.0,1093.0,-220.0,0.0,0.0,-146.0,0.0,104.0,0.0,16.0,-55.0,0.0,10.0,56.0,0.0,13.0,-13.0,471.0,-8.0,417.0,231.0,158.0,0.0,0.0,41.0,1236.0,-252.0,0.0,-47.0,95.0,1000.0,555.0,-327.0
FY2023,24.0,149.0,-258.0,-582.0,32.0,5.0,-36.0,0.0,0.0,-90.0,-35.0,27.0,895.0,198.0,0.0,0.0,-127.0,0.0,107.0,2.0,19.0,-188.0,0.0,11.0,53.0,0.0,13.0,-17.0,627.0,0.0,0.0,216.0,7.0,4.0,0.0,9.0,1353.0,-283.0,0.0,-36.0,59.0,1006.0,838.0,-93.0
FY2024,13.0,36.0,-253.0,-1229.0,0.0,7.0,-33.0,-107.0,17.0,200.0,-32.0,18.0,936.0,-41.0,-304.0,0.0,0.0,397.0,107.0,0.0,225.0,-103.0,0.0,11.0,48.0,0.0,15.0,6.0,507.0,0.0,49.0,212.0,-93.0,66.0,0.0,34.0,1457.0,-32.0,0.0,0.0,123.0,913.0,870.0,-160.0
