Period,Borrowings(in Cr),CWIP(in Cr),Equity Capital(in Cr),Fixed Assets(in Cr),Investments(in Cr),Other Assets(in Cr),Other Liabilities(in Cr),Reserves(in Cr),Total Assets(in Cr),Total Liabilities(in Cr)
FY2015,18.0,231.0,96.0,2898.0,1325.0,1633.0,3251.0,2721.0,6086.0,6086.0
FY2016,33.0,188.0,96.0,2730.0,1756.0,2136.0,3495.0,3186.0,6810.0,6810.0
FY2017,35.0,94.0,96.0,2616.0,1979.0,2673.0,3907.0,3324.0,7363.0,7363.0
FY2018,35.0,105.0,96.0,2401.0,2658.0,2924.0,4379.0,3577.0,8088.0,8088.0
FY2019,189.0,143.0,96.0,2341.0,1751.0,2937.0,5065.0,1822.0,7173.0,7173.0
FY2020,147.0,639.0,96.0,2179.0,1464.0,3618.0,5733.0,1923.0,7900.0,7900.0
FY2021,266.0,246.0,96.0,2995.0,774.0,4219.0,6021.0,1850.0,8234.0,8234.0
FY2022,271.0,358.0,96.0,3044.0,778.0,4799.0,6249.0,2363.0,8979.0,8979.0
FY2023,271.0,358.0,96.0,3044.0,778.0,4799.0,6249.0,2363.0,8979.0,8979.0
FY2024,345.0,1742.0,96.0,3460.0,464.0,4857.0,6838.0,3244.0,10523.0,10523.0
FY2025,1167.0,1173.0,96.0,5474.0,706.0,4972.0,7040.0,4021.0,12324.0,12324.0
FY2026,444.0,507.0,193.0,6290.0,706.0,5854.0,7604.0,5116.0,13357.0,13357.0
