Period,CFO/OP(in %),Cash from Financing Activity(in Cr),Cash from Investing Activity(in Cr),Cash from Operating Activity(in Cr),Free Cash Flow(in Cr),Net Cash Flow(in Cr)
FY2015,93.0,-498.0,-70.0,1098.0,949.0,529.0
FY2016,106.0,-666.0,-126.0,1466.0,1353.0,674.0
FY2017,116.0,-997.0,-131.0,1818.0,1622.0,691.0
FY2018,112.0,-1317.0,-52.0,2052.0,1890.0,683.0
FY2019,101.0,-3602.0,83.0,2295.0,2143.0,-1223.0
FY2020,99.0,-1956.0,-321.0,2454.0,1980.0,177.0
FY2021,83.0,-2020.0,-1920.0,2236.0,1505.0,-1704.0
FY2022,97.0,-2123.0,-392.0,2737.0,2197.0,223.0
FY2023,100.0,-2436.0,-927.0,3392.0,2028.0,29.0
FY2024,94.0,-3135.0,-1237.0,4175.0,2296.0,-198.0
FY2025,82.0,-1846.0,-1811.0,2935.0,930.0,-723.0
FY2026,115.0,-3179.0,-624.0,5048.0,4221.0,1244.0
