Period,Depreciation(in Cr),Dividend Payout %(in %),EPS in Rs(in Rs),Expenses(in Cr),Interest(in Cr),Net Profit(in Cr),OPM %(in %),Operating Profit(in Cr),Other Income(in Cr),Profit before tax(in Cr),Sales(in Cr),Tax %(in %)
FY2015,347.0,83.0,2.92,6620.0,3.0,563.0,19.0,1555.0,-391.0,814.0,8175.0,31.0
FY2016,354.0,61.0,5.19,7292.0,91.0,1001.0,20.0,1850.0,140.0,1545.0,9141.0,35.0
FY2017,342.0,68.0,6.35,7913.0,92.0,1225.0,21.0,2097.0,177.0,1839.0,10010.0,33.0
FY2018,336.0,69.0,8.33,8675.0,112.0,1607.0,23.0,2618.0,259.0,2429.0,11292.0,34.0
FY2019,370.0,168.0,10.21,9443.0,129.0,1968.0,24.0,2926.0,247.0,2673.0,12369.0,26.0
FY2020,370.0,93.0,10.8,10149.0,164.0,2082.0,24.0,3202.0,146.0,2813.0,13350.0,26.0
FY2021,391.0,91.0,10.99,11178.0,202.0,2118.0,24.0,3562.0,-112.0,2857.0,14741.0,26.0
FY2022,403.0,89.0,12.4,13191.0,155.0,2391.0,22.0,3706.0,107.0,3256.0,16897.0,27.0
FY2023,429.0,56.0,15.55,14655.0,119.0,2999.0,23.0,4471.0,116.0,4038.0,19126.0,26.0
FY2024,568.0,79.0,20.4,18551.0,145.0,3933.0,24.0,5843.0,159.0,5289.0,24394.0,26.0
FY2025,540.0,79.0,17.19,15430.0,136.0,3314.0,24.0,4771.0,352.0,4447.0,20202.0,25.0
FY2026,699.0,65.0,18.38,17848.0,158.0,3545.0,23.0,5307.0,160.0,4610.0,23155.0,23.0
