LineItem,Period,Value,Unit,ValueRaw,Company,Section
Sales,FY2015,30806.0,Cr,"30,806",HUL,P&L
Sales,FY2016,31061.0,Cr,"31,061",HUL,P&L
Sales,FY2017,31890.0,Cr,"31,890",HUL,P&L
Sales,FY2018,34525.0,Cr,"34,525",HUL,P&L
Sales,FY2019,38224.0,Cr,"38,224",HUL,P&L
Sales,FY2020,38785.0,Cr,"38,785",HUL,P&L
Sales,FY2021,45996.0,Cr,"45,996",HUL,P&L
Sales,FY2022,51193.0,Cr,"51,193",HUL,P&L
Sales,FY2023,59144.0,Cr,"59,144",HUL,P&L
Sales,FY2024,60469.0,Cr,"60,469",HUL,P&L
Sales,FY2025,59676.0,Cr,"59,676",HUL,P&L
Sales,FY2026,61975.0,Cr,"61,975",HUL,P&L
Expenses,FY2015,25600.0,Cr,"25,600",HUL,P&L
Expenses,FY2016,25312.0,Cr,"25,312",HUL,P&L
Expenses,FY2017,25843.0,Cr,"25,843",HUL,P&L
Expenses,FY2018,27249.0,Cr,"27,249",HUL,P&L
Expenses,FY2019,29587.0,Cr,"29,587",HUL,P&L
Expenses,FY2020,29185.0,Cr,"29,185",HUL,P&L
Expenses,FY2021,34672.0,Cr,"34,672",HUL,P&L
Expenses,FY2022,38690.0,Cr,"38,690",HUL,P&L
Expenses,FY2023,45512.0,Cr,"45,512",HUL,P&L
Expenses,FY2024,46279.0,Cr,"46,279",HUL,P&L
Expenses,FY2025,45532.0,Cr,"45,532",HUL,P&L
Expenses,FY2026,47511.0,Cr,"47,511",HUL,P&L
Operating Profit,FY2015,5205.0,Cr,"5,205",HUL,P&L
Operating Profit,FY2016,5749.0,Cr,"5,749",HUL,P&L
Operating Profit,FY2017,6047.0,Cr,"6,047",HUL,P&L
Operating Profit,FY2018,7276.0,Cr,"7,276",HUL,P&L
Operating Profit,FY2019,8637.0,Cr,"8,637",HUL,P&L
Operating Profit,FY2020,9600.0,Cr,"9,600",HUL,P&L
Operating Profit,FY2021,11324.0,Cr,"11,324",HUL,P&L
Operating Profit,FY2022,12503.0,Cr,"12,503",HUL,P&L
Operating Profit,FY2023,13632.0,Cr,"13,632",HUL,P&L
Operating Profit,FY2024,14190.0,Cr,"14,190",HUL,P&L
Operating Profit,FY2025,14144.0,Cr,"14,144",HUL,P&L
Operating Profit,FY2026,14464.0,Cr,"14,464",HUL,P&L
OPM %,FY2015,17.0,%,17%,HUL,P&L
OPM %,FY2016,19.0,%,19%,HUL,P&L
OPM %,FY2017,19.0,%,19%,HUL,P&L
OPM %,FY2018,21.0,%,21%,HUL,P&L
OPM %,FY2019,23.0,%,23%,HUL,P&L
OPM %,FY2020,25.0,%,25%,HUL,P&L
OPM %,FY2021,25.0,%,25%,HUL,P&L
OPM %,FY2022,24.0,%,24%,HUL,P&L
OPM %,FY2023,23.0,%,23%,HUL,P&L
OPM %,FY2024,23.0,%,23%,HUL,P&L
OPM %,FY2025,24.0,%,24%,HUL,P&L
OPM %,FY2026,23.0,%,23%,HUL,P&L
Other Income,FY2015,1285.0,Cr,"1,285",HUL,P&L
Other Income,FY2016,533.0,Cr,533,HUL,P&L
Other Income,FY2017,767.0,Cr,767,HUL,P&L
Other Income,FY2018,507.0,Cr,507,HUL,P&L
Other Income,FY2019,437.0,Cr,437,HUL,P&L
Other Income,FY2020,536.0,Cr,536,HUL,P&L
Other Income,FY2021,286.0,Cr,286,HUL,P&L
Other Income,FY2022,359.0,Cr,359,HUL,P&L
Other Income,FY2023,578.0,Cr,578,HUL,P&L
Other Income,FY2024,884.0,Cr,884,HUL,P&L
Other Income,FY2025,1632.0,Cr,"1,632",HUL,P&L
Other Income,FY2026,5572.0,Cr,"5,572",HUL,P&L
Interest,FY2015,17.0,Cr,17,HUL,P&L
Interest,FY2016,15.0,Cr,15,HUL,P&L
Interest,FY2017,22.0,Cr,22,HUL,P&L
Interest,FY2018,20.0,Cr,20,HUL,P&L
Interest,FY2019,28.0,Cr,28,HUL,P&L
Interest,FY2020,106.0,Cr,106,HUL,P&L
Interest,FY2021,108.0,Cr,108,HUL,P&L
Interest,FY2022,98.0,Cr,98,HUL,P&L
Interest,FY2023,101.0,Cr,101,HUL,P&L
Interest,FY2024,302.0,Cr,302,HUL,P&L
Interest,FY2025,350.0,Cr,350,HUL,P&L
Interest,FY2026,363.0,Cr,363,HUL,P&L
Depreciation,FY2015,287.0,Cr,287,HUL,P&L
Depreciation,FY2016,321.0,Cr,321,HUL,P&L
Depreciation,FY2017,396.0,Cr,396,HUL,P&L
Depreciation,FY2018,478.0,Cr,478,HUL,P&L
Depreciation,FY2019,524.0,Cr,524,HUL,P&L
Depreciation,FY2020,938.0,Cr,938,HUL,P&L
Depreciation,FY2021,1012.0,Cr,"1,012",HUL,P&L
Depreciation,FY2022,1025.0,Cr,"1,025",HUL,P&L
Depreciation,FY2023,1030.0,Cr,"1,030",HUL,P&L
Depreciation,FY2024,1097.0,Cr,"1,097",HUL,P&L
Depreciation,FY2025,1122.0,Cr,"1,122",HUL,P&L
Depreciation,FY2026,1186.0,Cr,"1,186",HUL,P&L
Profit before tax,FY2015,6187.0,Cr,"6,187",HUL,P&L
Profit before tax,FY2016,5946.0,Cr,"5,946",HUL,P&L
Profit before tax,FY2017,6396.0,Cr,"6,396",HUL,P&L
Profit before tax,FY2018,7285.0,Cr,"7,285",HUL,P&L
Profit before tax,FY2019,8522.0,Cr,"8,522",HUL,P&L
Profit before tax,FY2020,9092.0,Cr,"9,092",HUL,P&L
Profit before tax,FY2021,10490.0,Cr,"10,490",HUL,P&L
Profit before tax,FY2022,11739.0,Cr,"11,739",HUL,P&L
Profit before tax,FY2023,13079.0,Cr,"13,079",HUL,P&L
Profit before tax,FY2024,13675.0,Cr,"13,675",HUL,P&L
Profit before tax,FY2025,14304.0,Cr,"14,304",HUL,P&L
Profit before tax,FY2026,18487.0,Cr,"18,487",HUL,P&L
Tax %,FY2015,30.0,%,30%,HUL,P&L
Tax %,FY2016,30.0,%,30%,HUL,P&L
Tax %,FY2017,30.0,%,30%,HUL,P&L
Tax %,FY2018,28.0,%,28%,HUL,P&L
Tax %,FY2019,29.0,%,29%,HUL,P&L
Tax %,FY2020,26.0,%,26%,HUL,P&L
Tax %,FY2021,24.0,%,24%,HUL,P&L
Tax %,FY2022,25.0,%,25%,HUL,P&L
Tax %,FY2023,24.0,%,24%,HUL,P&L
Tax %,FY2024,26.0,%,26%,HUL,P&L
Tax %,FY2025,26.0,%,26%,HUL,P&L
